1,"""10+1""：贸易、投资与金融合作","点击下载
"
2,基础设施与产能合作,"点击下载
"
3,亚洲区域合作的未来,"点击下载
"
4,综述：博鳌亚洲论坛曼谷会议聚焦亚洲区域合作,"2017年7月11日，博鳌亚洲论坛在泰国曼谷举行以“亚洲区域合作：新挑战、新思路”为主题的会议，旨在加快推动亚洲经济一体化进程，探讨“一带一路”倡议下深化区域经济合作、推动经济发展的新途径。来自中国、泰国、新加坡、马来西亚、印尼、柬埔寨等13个国家和地区的400多名代表出席会议。
这是博鳌亚洲论坛首次在泰国举办会议。除开幕式及欢迎晚宴外，会议共设置“亚洲区域合作的未来”、“基础设施与产能合作”、“10+1：贸易、金融与投资合作”三场分论坛和一场中泰企业家闭门交流会。
博鳌亚洲论坛副理事长、国务院原副总理曾培炎、泰国外交部部长敦·帕马威奈（Don PRAMUDWINAI）、泰国原副总理、泰国原外交部部长、亚洲和平与和解委员会主席、博鳌亚洲论坛理事素拉杰（Surakiart SATHIRATHAI）、泰国原副总理、世界贸易组织原总干事、联合国贸易和发展会议前秘书长素帕猜（Supachai PANITCHPAKDI）、博鳌亚洲论坛秘书长周文重、中国驻泰国大使宁赋魁、泰国工业联合会主席林铮（Chen NAMCHAISIRI）、中国前商务部部长陈德铭、亚洲基础设施投资银行行长金立群、利丰有限公司荣誉主席、冯氏集团主席、博鳌亚洲论坛理事冯国经等出席开幕式和分论坛。
曾培炎在开幕式上发表题为“在全球化调整中深化亚洲区域合作”的主旨演讲。他指出，经济全球化作为历史趋势不会逆转或终结，当前世界经济的结构性问题并不全是全球化带来的，也不可能通过逆全球化得到彻底解决。亚洲各国从自身资源禀赋和发展阶段出发，都高度依赖国际贸易和投资，应当更加理性客观地对待经济全球化，最大限度趋利避害，找到合适的政策均衡点。他强调，加快亚洲经济一体化进程，深化区域经济合作，是未来亚洲适应全球化调整、推动经济发展的有效途径。
展望未来，曾培炎提出，“一带一路”倡议将从区域国家发展规划、区域统一大市场、基础设施联通水平、贸易投资制度安排、金融服务及安全体系五个方面，助推亚洲尤其是东亚区域合作升级，为经济全球化和区域经济一体化提供新思路、新动力。
敦·帕马威奈表示，泰国正全力进行基础设施领域的重大调整，努力对接“一带一路”建设进程。他还指出，全球化处于十字路口，为了应对新的挑战，需要促进全球贸易和经济一体化向更加健康的方向发展。他强调，共赢合作需建立在利益共享和相互尊重的基础之上，这是促进双边关系保持活力、持久的法宝。以邻为壑的政策无异于作法自毙。
素拉杰高度评价博鳌亚洲论坛，认为本次会议非常及时也非常重要，将为解决亚洲区域合作所面临的新挑战，适应新的形势找寻路径。他表示，“共同体”这个词源于法语中的“社区”一词，其意为“共同拥有”。当我们探索新的思路时需要注意，亚洲区域合作仍是具有区域特色的全球化，一个多种体制共存的共同体，一个拥有共同梦想的共同体。他指出，亚洲基础设施投资银行（AIIB）可以作为未来合作的典范。
周文重指出，召开本次会议主要出于三个方面考虑，一是亚洲区域一体化建设对世界和平稳定与发展非常重要；二是各方达成区域全面经济伙伴关系（RCEP）和亚太自由贸易区（FTAAP）意愿积极；三是2017正值东盟成立50周年、东盟与中日韩（10+3）合作机制成立20周年，希望会议能推动区域合作继续向前发展。他还表示，泰国是论坛29个发起国之一，对博鳌亚洲论坛的成长始终发挥着积极作用，感谢泰国各界对此次会议的支持。
宁赋魁指出，面对风云变幻的国际和地区形势，亚洲国家更应该团结一心，以协商一致、照顾各方舒适度的亚洲方式坚定推进区域合作，努力构建亚洲命运共同体，实现合作共赢、共同发展。中国是亚洲区域合作的参与者和推动者，相信“一带一路”倡议将为亚洲区域合作提供更广阔的空间和更多机遇。
林铮表示，亚洲已经成为闻名世界的创新中心和全球直接投资的主要目的地。亚洲区域更大范围的互联互通，将为企业创造商机、提供市场及就业要机会，缩小区域国家间及次区域层面的发展差距，进而获得包容性、可持续性发展。
在“亚洲区域合作的未来”分论坛上，与会嘉宾认为，亚洲面临逆全球化的挑战，未来更应坚持自由贸易原则，推动区域经济一体化，拓宽合作领域和层次，升级亚洲区域及全球经济合作机制，实现开放、包容、平衡及可持续发展。陈德铭表示，未来的全球化应是一种新的全球化，应注意新技术的突破、分配不公和环境保护等问题。
在“基础设施与产能合作”分论坛上，与会嘉宾一致认同，基础设施的互联互通，将大力促进本国、本地区的经济增长。互联互通不仅是到道路的联通，更是人员、技术、信息、文化的互联互通。与会嘉宾纷纷“点赞”“亚投行”，并表示“一带一路”建设是亚洲各国发展的重要机遇，其“走出去”、互联互通的模式更是全球化的新思路。
金立群指出，从发达国家到发展中国家，目前世界各国均将基础设施建设作为拉动经济增长的主力。“亚投行”可以填补亚洲基建的巨大资金需求，并增加资金流动性。他还强调，“亚投行”不是中国的银行，而是服务于所有成员国的利益。
在“10+1：贸易、金融与投资合作”分论坛上，与会嘉宾指出，近10年内，中国-东盟自贸区发展突飞猛进。2017年是东盟成立50周年，中国-东盟“10+1”合作将再升级。未来仍需进一步加强贸易、投资、金融领域的开放与合作。李若谷指出，应进一步扫除中国-东盟双方投资障碍，如以人民币或用本土货币进行结算，这将大大提高项目投资的便利程度。
在中泰企业家闭门对话会上，来自中国和泰国的18位企业家代表出席，他们围绕工厂化建房、能源互联互通、中国对泰投资、共享经济、泰国商品供应链、泰国旅游配套设施及泰国本地劳动力配置等具体问题坦诚交换意见。
本次会议由博鳌亚洲论坛与泰国外交部共同主办，泰国外交部德沃旺乔·瓦罗帕昆外交学院、泰国工业联合会为合办机构，正大集团为合作伙伴并提供部分赞助，亚洲和平和解委员会、泰中促进投资贸易商会为协办机构。
（查看英文）
"
5,李若谷在博鳌亚洲论坛曼谷会议期间接受记者群访,"
2017年7月11日，中国进出口银行前行长在博鳌亚洲论坛在泰国曼谷举办的“亚洲区域合作：新挑战、新思路”专题会议期间，接受中国媒体群访，情况如下。
中国国际广播电台记者：您认为博鳌亚洲论坛曼谷会议对以银行为代表的金融业、银行业带来哪些好处？另外，您此次前来参会有何收获?
李若谷：中国提出“一带一路”倡议以来，得到国际社会广泛响应，无论是在互联互通建设方面的合作，还是在相互经济金融方面合作，都离不开银行的支持，特别是基础设施建设方面，更需要银行资金方面的支持。因此，这样的会议越多越好，可以增进中国的银行界、中国的企业界对“一带一路”沿线沿路60多个国家的了解。我刚刚参加了中泰企业家闭门对话会。泰国企业也提出，一定要了解泰国企业的需求以及泰国一些政策的制定过程，这样才能更好地融入到泰国经济社会，更好地使“一带一路”战略与泰国的发展战略相结合。此次来泰国召开会议，使我们对泰国有了更深层次的了解，无论是金融界的，还是企业界的。这对赴泰投资发展事业都会有所帮助。
中央电视台记者：“一带一路”对于整个亚洲和东盟国家的影响很大。会议非常关注“一带一路”倡议，围绕逆全球化和反对不公平的贸易壁垒进行了探讨。您觉得“一带一路”倡议对东盟国家乃至亚洲国家解决这些问题，会提供怎样的新思路？
李若谷：全球化是世界经济的发展方向。在过去30多年的发展过程中出现了一些问题，因此出现了所谓逆全球化的问题。我认为，全球化是不可能被逆转的，它只能不断向前发展。出现的问题主要是财富的分配，还有机会的分配，可能在有一些地方，有一些国家不那么均衡，因此引起一部分人的反对。与此同时，东南亚国家，东盟和亚洲大部分国家，仍然支持全球化。“一带一路”倡议的提出，实际上就是如何更好地使发展的利益、发展的好处与大家分享。绝对平均肯定是不可能的，但它能够更加均衡地分配在各个国家之中。在一个国家里能够更加均衡地分配给所有群体，这样的发展才是包容性发展，可持续发展。“一带一路”建设，正是适应和解决全球化在过去30年中所出现的问题的、非常有效的政策和工具。也就是说，怎样将中国在全球化发展中获得的好处和利益分配给更多国家，让他们分享。我们提出来“五通”，都是为了这个目的，就是要使发展更可持续、更加包容、使更多人受益。
新华社记者：您对中泰之间的产能合作特别是能源方面的合作，有何期待？
李若谷：泰国在能源领域的发展还是比较落后的，中国在此领域与泰国合作的空间很大。这需要双方政府制定更加有利于合作的政策，能源合作需要电网建设。目前与泰国的电网互联，需要经过老挝，或者缅甸等地方，这就需要与这些国家的政府联合起来。我们现在有一个澜湄合作机制，需要研究如何将能源合作纳入到这些机制，让多国政府制定相应政策，有利于电力合作和电力输送。五通，道路要通，电要通，人员要通，民心要通，港口要通，很多都与基础设施建设有关。电力要通，电网建设不只是一个国家的事情，可能涉及很多国家。所以，需要大家坐下来、一起谈，达成一个相互都认可的标准和方式。
人民日报（People Daily）：中国—东盟（10+1）合作如何能走得远、行得稳？如何在“10+1”的基础上，进一步推动亚洲区域合作？
李若谷：中国和东盟的合作已经进入升级版，零关税对区域贸易发展起到很大促进作用，中国与东盟建立伙伴关系以来，双边贸易翻了七、八倍，自贸区的建成对区域贸易起到了积极促进作用。亚洲与其他地区很不相同，文化多样化、宗教多样化，兼容佛教、伊斯兰教和天主教。亚洲的国家层次也丰富，包括日本、韩国这样的发达国家，也有尼泊尔、不丹这样相对落后的国家，还有泰国这样相对发展中的经济体，制定政策更需灵活。中国和东盟的合作、中国和整个亚洲地区的合作需要灵活性，需要满足各个经济体的不同需求。体制内的各个国家需要互相包容、互相理解、共同发展。“10+1”的工作做好后，有利于未来“10+3”，“10+6”合作关系的开展。合作模式一旦稳固建立，就可复制到与其他经济体的合作中。
人民日报（People Daily）：亚洲经济一体化应该有哪些自己的特色?需要什么样的制度安排？ 
李若谷：比方说投资，比方说贸易便利化。RCEP内有16个国家，由于国家体制多样化和发展程度不一，造成国家之间的“众口难调”，你能接受的东西，他未必能接受。若是等到所有成员国都接受了一项发展决策，磨合期将花费较长时间。所以RCEP中的“10+6”，应允许接受某项决策和内容的国家先行动，也允许暂时不能接受的国家有个3年或5年的过渡期，逐步达到先进一点的阶段。
中国新闻社（CNS）记者：博鳌亚洲论坛首次到曼谷举行会议，有哪些意义？
李若谷：意义应该说是比较大的。博鳌亚洲论坛“身在亚洲，面向世界”，亚洲的论坛就应在所有亚洲的国家都有声音，都有机会组织这样的研讨会，企业之间的交流会。博鳌亚洲论坛曾经去过中东一些国家，也去过澳大利亚，现在又来到泰国，其影响力在逐渐扩大。希望论坛未来能够去马来西亚、新加坡、印尼、菲律宾，举办类似会议，这样才能使得博鳌亚洲论坛更加具有影响力，更加具有包容性。
"
6,张晓强：中国-东盟自贸区各应坚持自身发展特色增加合作深度,"2017年7月11日，博鳌亚洲论坛在泰国曼谷香格里拉酒店召开主题为“亚洲区域合作：新挑战、新思路”的专题会议。在“‘10+1’：贸易、投资与金融合作”分论坛上，中国国际经济交流中心常务副理事长张晓强指出，中国-东盟自贸区还有很多国家是发展中国家，遇到中等收入陷井，还有一些贫困线以下，未来应该增加合作的深度。中国-东盟自由贸易区有自己的特色，这些特殊性和特色有利于双方未来良好合作。

"
7,泽田康幸：中国-东盟自贸区各国差异巨大，但仍需坚持开放,"2017年7月11日，博鳌亚洲论坛在泰国曼谷香格里拉酒店召开主题为“亚洲区域合作：新挑战、新思路”的专题会议。在“‘10+1’：贸易、投资与金融合作”分论坛上，亚洲开发银行首席经济学家泽田康幸（Yasuyuki SAWADA）指出，中国和东盟自由贸易区与北美自由贸易区不同，因为这一自贸区是世界上人口数量最多的自贸区，各国的市场规模、税收政策，以及进出口结构都有很大不同，其内部环境及外部环境也不相同。进一步开放中国与东盟自贸区的有效途径，需要双方在双边及多边领域进行友好协商与交流。

"
8,陈智深：东盟可通过与金融机构的合作实现基础设施建设需求,"2017年7月11日，博鳌亚洲论坛在泰国曼谷香格里拉酒店召开主题为“亚洲区域合作：新挑战、新思路”的专题会议。在“‘10+1’：贸易、投资与金融合作”分论坛上，泰国盘谷银行（大众有限公司）总裁、盘谷银行（中国）有限公司董事长陈智深（Chartsiri SOPHONPANICH）指出，东盟国家之间在基础设施方面还有很大需求，可以发展与“亚投行”、“亚开行”等金融机构之间的合作实现基础设施互联互通。未来10年，通过基础设施的互联互通将进一步促进东盟与中国之间的交流，进而推动亚洲区域一体化顺利发展。

"
9,李若谷：以人民币或本土货币投资将大大提高投资便利程度,"2017年7月11日，博鳌亚洲论坛在泰国曼谷香格里拉酒店召开主题为“亚洲区域合作：新挑战、新思路”的专题会议。在“‘10+1’：贸易、投资与金融合作”分论坛上，中国进出口银行前行长李若谷指出，中国民间有很多的资金基础，但无法被充分应用，尤其体现在大型项目投资方面。如中国-东盟双方开放到以人民币或用本土货币投资，双方间的投资合作项目的便利程度将大大提高。随着其他一些商务贸易障碍的解决和清除，中方投资进入东盟将有更多的成果或成长。
"
10,李若谷：实现中国-东盟双边贸易额2020年达到一万亿的发展目标应坚持两个必须,"2017年7月11日，博鳌亚洲论坛在泰国曼谷香格里拉酒店召开主题为“亚洲区域合作：新挑战、新思路”的专题会议。在“‘10+1’：贸易、投资与金融合作”分论坛上，中国进出口银行前行长李若谷表示，为实现中国-东盟双边贸易额到2020年达到一万亿的发展目标，必须改变非永续发展的商务模式，必须增加相互投资方面的合作弹性，还有自由度及开放度。有必要制定各种各样自由化或者利于相互投资的更有弹性的规则。加强金融方面的合作也能起到增加贸易投资的作用。
"
